Date,Open,High,Low,Close
05/29/2024,"7,265.18","7,265.18","7,265.18","7,265.18"
05/28/2024,"7,348.05","7,348.05","7,348.05","7,348.05"
05/24/2024,"7,415.12","7,415.12","7,415.12","7,415.12"
05/23/2024,"7,399.43","7,399.43","7,399.43","7,399.43"
05/22/2024,"7,468.33","7,468.33","7,468.33","7,468.33"
05/21/2024,"7,502.95","7,502.95","7,502.95","7,502.94"
05/20/2024,"7,482.23","7,482.23","7,482.23","7,482.23"
05/17/2024,"7,514.71","7,514.71","7,514.71","7,514.71"
05/16/2024,"7,553.32","7,553.32","7,553.32","7,553.32"
05/15/2024,"7,473.31","7,473.31","7,473.31","7,473.31"
05/14/2024,"7,518.69","7,518.69","7,518.69","7,518.69"
05/13/2024,"7,508.59","7,508.59","7,508.59","7,508.59"
05/10/2024,"7,480.02","7,480.02","7,480.02","7,480.02"
05/09/2024,"7,452.28","7,452.28","7,452.28","7,452.28"
05/08/2024,"7,412.86","7,412.86","7,412.86","7,412.86"
05/07/2024,"7,462.68","7,462.68","7,462.68","7,462.68"
05/06/2024,"7,357.81","7,357.81","7,357.81","7,357.81"
05/03/2024,"7,354.78","7,354.78","7,354.78","7,354.78"
05/02/2024,"7,352.51","7,352.51","7,352.51","7,352.51"
05/01/2024,"7,237.28","7,237.28","7,237.28","7,237.28"
04/30/2024,"7,249.30","7,249.30","7,249.30","7,249.29"
04/29/2024,"7,327.19","7,327.19","7,327.19","7,327.19"
04/26/2024,"7,281.71","7,281.71","7,281.71","7,281.71"
04/25/2024,"7,293.76","7,293.76","7,293.76","7,293.76"
04/24/2024,"7,318.90","7,318.90","7,318.90","7,318.90"
04/23/2024,"7,290.71","7,290.71","7,290.71","7,290.71"
04/22/2024,"7,251.73","7,251.73","7,251.73","7,251.73"
04/19/2024,"7,223.79","7,223.79","7,223.79","7,223.79"
04/18/2024,"7,137.62","7,137.62","7,137.62","7,137.62"
04/17/2024,"7,111.80","7,111.80","7,111.80","7,111.80"
04/16/2024,"7,125.29","7,125.29","7,125.29","7,125.29"
04/15/2024,"7,123.83","7,123.83","7,123.83","7,123.83"
04/12/2024,"7,151.03","7,151.03","7,151.03","7,151.03"
04/11/2024,"7,279.51","7,279.51","7,279.51","7,279.51"
04/10/2024,"7,300.21","7,300.21","7,300.21","7,300.21"
04/09/2024,"7,375.53","7,375.53","7,375.53","7,375.53"
04/08/2024,"7,359.82","7,359.82","7,359.82","7,359.82"
04/05/2024,"7,362.44","7,362.44","7,362.44","7,362.44"
04/04/2024,"7,349.44","7,349.44","7,349.44","7,349.44"
04/03/2024,"7,362.54","7,362.54","7,362.54","7,362.54"
04/02/2024,"7,432.77","7,432.77","7,432.77","7,432.77"
04/01/2024,"7,485.91","7,485.91","7,485.91","7,485.91"
03/28/2024,"7,528.78","7,528.78","7,528.78","7,528.78"
